needs_QC,scientific_name,common_name,alternative_names,category,source
,Abalistes stellatus,triggerfish,,animal,"FDA The Seafood List, 2023/07/21"
,Abramis brama,common bream,bream,animal,JL
,Abudefduf saxatilis,sergeant-major,,animal,"FDA The Seafood List, 2023/07/21"
,Abudefduf septemfasciatus,damselfish,,animal,"FDA The Seafood List, 2023/07/21"
,Abudefduf sordidus,surgeonfish,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthistius brasilianus,sea bass,argentine sea bass,animal,"FDA The Seafood List, 2023/07/21"
,Acanthocardia aculeata,cockle,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthocardia tuberculata,cockle,knotted cockle,animal,"FDA The Seafood List, 2023/07/21"
1,Acanthocybium solandri,wahoo,ono,animal,JL
,Acanthopagrus berda,porgy,sea bream,animal,"FDA The Seafood List, 2023/07/21"
,Acanthopagrus schlegelii,blackhead seabream,"japanese black porgy, sea bream, porgy",animal,"Newton, ""The Oldest Foods on Earth"""
,Acanthostracion polygonius,cowfish,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthostracion quadricornis,cowfish,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus achilles,surgeonfish,tang,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus chirurgus,tang,"doctorfish, surgeonfish",animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus coeruleus,tang ,"blue tang, surgeonfish",animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus dussumieri,surgeonfish,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus gahhm,surgeonfish,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus mata,tang ,"striped surgeonfish, surgeonfish",animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus nigrofuscus,surgeonfish,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus nubilus,tang ,surgeonfish,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus olivaceus,surgeonfish,,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus triostegus,tang ,surgeonfish,animal,"FDA The Seafood List, 2023/07/21"
,Acanthurus xanthopterus,tang ,"yellowfin surgeonfish, surgeonfish",animal,"FDA The Seafood List, 2023/07/21"
,Acetes japonicus,shrimp,,animal,"FDA The Seafood List, 2023/07/21"
,Achatina fulica,snail,"giant african snail, escargot",animal,"FDA The Seafood List, 2023/07/21"
,Acheta domesticus,house cricket,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Acipenser baerii,siberian sturgeon,sturgeon,animal,FAO Cultured Aquatic Species Fact Sheets
,Acipenser dabryanus,sturgeon,yangtze sturgeon,animal,"FDA The Seafood List, 2023/07/21"
,Acipenser fulvescens,sturgeon,lake sturgeon,animal,"FDA The Seafood List, 2023/07/21"
,Acipenser gueldenstaedtii,russian sturgeon,sturgeon,animal,SJ
,Acipenser medirostris,sturgeon,green sturgeon,animal,"FDA The Seafood List, 2023/07/21"
,Acipenser multiscutatus,sturgeon,japanese sturgeon,animal,"FDA The Seafood List, 2023/07/21"
,Acipenser nudiventris,sturgeon,thorn sturgeon,animal,"FDA The Seafood List, 2023/07/21"
,Acipenser oxyrinchus,sturgeon,atlantic sturgeon,animal,"FDA The Seafood List, 2023/07/21"
,Acipenser ruthenus,sterlet,sturgeon,animal,SJ
,Acipenser schrenckii,sturgeon,amur sturgeon,animal,"FDA The Seafood List, 2023/07/21"
,Acipenser stellatus,starry sturgeon,"sturgeon, stellate sturgeon",animal,SJ
,Acipenser transmontanus,white sturgeon,sturgeon,animal,SJ
,Actinopyga mauritiana,surf redfish,,animal,Australian Fisheries Management Authority
,Aequipecten glyptus,scallop,red-ribbed scallop,animal,"FDA The Seafood List, 2023/07/21"
,Aethaloperca rogaa,grouper,redmouth grouper,animal,"FDA The Seafood List, 2023/07/21"
,Aetobatus narinari,eagle ray,ray,animal,"FDA The Seafood List, 2023/07/21"
,Agonostomus monticola,mullet,mountain mullet,animal,"FDA The Seafood List, 2023/07/21"
,Ailia coila,gangetic ailia,,animal,"FDA The Seafood List, 2023/07/21"
,Ailichthys punctatus,kajuli,,animal,"FDA The Seafood List, 2023/07/21"
,Albatrossia pectoralis,grenadier,,animal,"FDA The Seafood List, 2023/07/21"
,Albula vulpes,bonefish,,animal,"FDA The Seafood List, 2023/07/21"
,Alces alces,moose,,animal,BP
,Aldrichetta forsteri,mullet,yelloweye mullet,animal,"FDA The Seafood List, 2023/07/21"
