superkingdom,kingdom,phylum,order,family,genus,species
Eukaryota,Metazoa,Chordata,Galliformes,Phasianidae,Gallus,Gallus gallus
Eukaryota,Metazoa,Chordata,Artiodactyla,Bovidae,Bos,Bos taurus
Eukaryota,Metazoa,Chordata,Artiodactyla,Suidae,Sus,Sus scrofa
Eukaryota,Metazoa,Chordata,Casuariiformes,Dromaiidae,Dromaius,Dromaius novaehollandiae
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Anseriformes,Anatidae,Anas,Anas platyrhynchos
Eukaryota,Metazoa,Chordata,Artiodactyla,Bovidae,Ovis,Ovis aries
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Artiodactyla,Bovidae,Capra,Capra hircus
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Clupeiformes,Engraulidae,Engraulis,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Cichliformes,Cichlidae,Oreochromis,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Artiodactyla,Bovidae,Ovis,Ovis aries
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Salmoniformes,Salmonidae,Salmo,Salmo salar
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Eukaryota,Metazoa,Chordata,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
