superkingdom,kingdom,phylum,order,family,family_color,genus,genus_color,species,species_color
,,,,Annonaceae,#8C510A,,,,
,,,,Rutaceae,#FD8D3C,Citrus,,,
,,,,Theaceae,#F6E8C3,,,Camellia,
Eukaryota,Viridiplantae,Streptophyta,Asparagales,Amaryllidaceae,#F7F7F7,Allium,,NA,
Eukaryota,Viridiplantae,Streptophyta,Asparagales,Amaryllidaceae,#F7F7F7,Allium,,Allium sativum,
Eukaryota,Viridiplantae,Streptophyta,Asparagales,Amaryllidaceae,#F7F7F7,Allium,,Allium cepa,
Eukaryota,Viridiplantae,Streptophyta,Sapindales,Anacardiaceae,#FDB863,Pistacia,,Pistacia vera,
Eukaryota,Viridiplantae,Streptophyta,Sapindales,Anacardiaceae,#FDB863,Mangifera,,Mangifera indica,
Eukaryota,Viridiplantae,Streptophyta,Apiales,Apiaceae,#F46D43,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Apiales,Apiaceae,#F46D43,Coriandrum,,Coriandrum sativum,
Eukaryota,Viridiplantae,Streptophyta,Apiales,Apiaceae,#F46D43,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Alismatales,Araceae,#8073AC,Colocasia,,Colocasia esculenta,
Eukaryota,Viridiplantae,Streptophyta,Arecales,Arecaceae,#543005,Cocos,,Cocos nucifera,
Eukaryota,Viridiplantae,Streptophyta,Arecales,Arecaceae,#543005,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Asparagales,Asparagaceae,#7FBC41,Asparagus,,Asparagus officinalis,
Eukaryota,Viridiplantae,Streptophyta,Asterales,Asteraceae,#F7F7F7,Lactuca,,Lactuca sativa,
Eukaryota,Viridiplantae,Streptophyta,Asterales,Asteraceae,#F7F7F7,Helianthus,,Helianthus annuus,
Eukaryota,Viridiplantae,Streptophyta,Fagales,Betulaceae,#7F3B08,Corylus,,Corylus avellana,
Eukaryota,Viridiplantae,Streptophyta,Brassicales,Brassicaceae,#276419,Brassica,,Brassica oleracea,
